Term,CRN,Subj,Num,Section,Title,Sched Type,Instructor,Units,Camp,Bldg,Room,Begin,End,Days,Start Date,End Date,Cap,Enrolled,Dept Desc,Faculty,Status
201905,30853,ADMN,1,W01,CO-OP WORK TERM,WRK,TBD,4.5,OFF,,,,,,06-May-19,16-Aug-19,999,0,Public Administration,HS,A
201905,30001,ADMN,311,A01,INTRO TO PUBLIC ADMIN,LEC,"Hall, Jennifer",1.5,ONL,,,,,,06-May-19,02-Aug-19,23,18,Public Administration,HS,A
201905,30002,ADMN,312,A01,MANAGING IN PUBLIC + NPOS,LEC,"Vakil, Thea",1.5,ONL,,,,,,06-May-19,02-Aug-19,30,30,Public Administration,HS,A
201905,30003,ADMN,411,A01,PUBLIC SECTOR PROJECT MNGMNT,LEC,"Speers, Kimberly",1.5,ONL,,,,,,06-May-19,02-Aug-19,30,23,Public Administration,HS,A
201905,30004,ADMN,477,A01,STRATEGIC PLAN+IMPLEMENTATION,LEC,"Speers, Kimberly",1.5,ONL,,,,,,06-May-19,02-Aug-19,30,23,Public Administration,HS,A
201905,30005,ADMN,502B,A01,DATA ANALYSIS + INTERPRETATION,LEC,"MacGregor, James",1.5,M,HHB,116,930,1220,R,06-May-19,02-Aug-19,26,20,Public Administration,HS,A
201905,30006,ADMN,509,A01,MICROECONOMCS:POLICY ANALYSIS,LEC,"Chan, Elsie",1.5,ONL,,,,,,06-May-19,02-Aug-19,26,23,Public Administration,HS,A
201905,30007,ADMN,512,A01,RESOURCE ACCOUNTABILITY,LEC,"Reyes, Aureleo",1.5,M,HSD,A270,1630,1920,W,06-May-19,02-Aug-19,26,20,Public Administration,HS,A
201905,30008,ADMN,550,A01,"STRATEGIC COMM'N, ENGAGEMENT",LEC,"Speers, Kimberly",1.5,ONL,,,,,,06-May-19,02-Aug-19,26,26,Public Administration,HS,A
201905,30009,ADMN,581,A01,QUANTITATIVE METHODS,LEC,"MacGregor, James",1.5,ONL,,,,,,06-May-19,02-Aug-19,10,3,Public Administration,HS,A
201905,30010,ADMN,581,A02,QUANTITATIVE METHODS,LEC,"MacGregor, James",1.5,ONL,,,,,,06-May-19,02-Aug-19,16,8,Public Administration,HS,A
201905,31888,ADMN,590,A01,DIRECTED STUDIES,LEC,"Lindquist, Evert",1.5,OFF,,,,,,06-May-19,16-Aug-19,1,1,Public Administration,HS,A
201905,31889,ADMN,590,A02,DIRECTED STUDIES,LEC,"Lindquist, Evert",1.5,OFF,,,,,,06-May-19,16-Aug-19,1,1,Public Administration,HS,A
201905,30013,ADMN,596,A01,EVALUATION PROJECT,LEC,TBD,4.5,ONL,,,,,,06-May-19,02-Aug-19,15,0,Public Administration,HS,A
201905,30014,ADMN,598,A01,MASTER'S PROJECT,LEC,TBD,4.5,M,,,,,,06-May-19,02-Aug-19,150,18,Public Administration,HS,A
201905,30015,ADMN,598,A02,MASTER'S PROJECT,LEC,TBD,4.5,ONL,,,,,,06-May-19,02-Aug-19,150,18,Public Administration,HS,A
201905,30017,ADMN,599,A02,MASTER'S THESIS,LEC,TBD,6,ONL,,,,,,06-May-19,02-Aug-19,100,0,Public Administration,HS,A
201905,30016,ADMN,599,A01,MASTER'S THESIS,LEC,TBD,6,M,,,,,,06-May-19,02-Aug-19,150,2,Public Administration,HS,A
201905,30019,ADMN,699,A02,DISSERTATION,LEC,TBD,30,ONL,,,,,,06-May-19,02-Aug-19,100,3,Public Administration,HS,A
201905,30018,ADMN,699,A01,DISSERTATION,LEC,TBD,30,M,,,,,,06-May-19,02-Aug-19,150,0,Public Administration,HS,A
201905,30854,ADMN,801,W01,CO-OP WORK TERM,WRK,TBD,3,OFF,,,,,,06-May-19,16-Aug-19,999,0,Public Administration,HS,A
201905,30855,ADMN,802,W01,CO-OP WORK TERM,WRK,TBD,3,OFF,,,,,,06-May-19,16-Aug-19,999,1,Public Administration,HS,A
201905,30856,ADMN,803,W01,CO-OP WORK TERM,WRK,TBD,3,OFF,,,,,,06-May-19,16-Aug-19,999,2,Public Administration,HS,A
201905,30857,ADMN,804,W01,CO-OP WORK TERM,WRK,TBD,3,OFF,,,,,,06-May-19,16-Aug-19,999,1,Public Administration,HS,A
