Course,Title,Term,Term Yr,Class Yr,Dept Desc,Cap,Enrolled
CSC 320,FOUNDATIONS:COMPUTER SCIENCE,Spring,2020,3,Computer Science,117,109
CSC 360,OPERATING SYSTEMS,Spring,2020,3,Computer Science,173,148
CSC 361,COMPUTER COMMUNCTIONS+NETWRKS,Spring,2020,3,Computer Science,175,109
CSC 370,DATABASE SYSTEMS,Spring,2020,3,Computer Science,150,99
CSC 460,DESIGN: REAL-TIME SYSTEMS,Spring,2020,4,Computer Science,35,30
ECE 310,DIGITAL SIGNAL PROCESSING I,Spring,2020,3,Electrical & Computer Engg,195,163
ECE 360,CONTROL THEORY+SYSTEMS I,Spring,2020,3,Electrical & Computer Engg,80,65
ECE 455,REAL TIME COMP SYS DESGN,Spring,2020,4,Electrical & Computer Engg,70,62
ECE 458,COMMUNICATION NETWORKS,Spring,2020,4,Electrical & Computer Engg,94,90
SENG 265,SOFTWARE DEVELOP METHODS,Spring,2020,2,Engineering & Computer Science,147,114
SENG 310,HUMAN COMPUTER INTERACT'N,Spring,2020,3,Engineering & Computer Science,150,130
SENG 321,REQUIREMENTS ENGINEERING,Spring,2020,3,Engineering & Computer Science,72,66
SENG 371,SOFTWARE EVOLUTION,Spring,2020,3,Engineering & Computer Science,75,71
SENG 401,SOCIAL+PROFESSIONL ISSUES,Spring,2020,4,Engineering & Computer Science,70,70
CSC 111,FUNDMNTL PRGRMNG:ENGR APS,Fall,2022,1,Computer Science,475,292
CSC 115,FUNDAMENTAL PROGRAMING:II,Fall,2022,1,Computer Science,176,159
CSC 115,FUNDAMENTAL PROGRAMING:II,Summer,2022,1,Computer Science,78,91
CSC 225,ALGORITHMS+DATA STUCT:I,Fall,2022,2,Computer Science,216,197
CSC 225,ALGORITHMS+DATA STUCT:I,Summer,2022,2,Computer Science,75,58
CSC 226,ALGORITHMS+DATA STRUCTURE II,Fall,2022,2,Computer Science,153,96
CSC 226,ALGORITHMS+DATA STRUCTURE II,Summer,2022,2,Computer Science,100,74
CSC 230,COMPUTER ARCHITECTURE,Fall,2022,2,Computer Science,160,128
CSC 230,COMPUTER ARCHITECTURE,Summer,2022,2,Computer Science,65,46
CSC 320,FOUNDATIONS:COMPUTER SCIENCE,Fall,2022,3,Computer Science,95,47
CSC 320,FOUNDATIONS:COMPUTER SCIENCE,Summer,2022,3,Computer Science,141,120
