Term,CRN,Subj,Num,Section,Title,Sched Type,Instructor,Units,Camp,Bldg,Room,Begin,End,Days,Start Date,End Date,Cap,Enrolled,Dept Desc,Faculty,Status
202301,23872,EDCI,330,A03,ELEM FILED EXPERIENCE SEM II,LEC,"Hauptman, Lynn",1.5,CRA,,,1230,1520,R,09-Jan-23,06-Apr-23,25,13,Curriculum and Instruction,ED,A
202301,21138,EDCI,335,A01,LEARNING DESIGN TECH-MED ENVIR,LEC,"Yudintseva, Anastassiya",1.5,ONL,,,,,,09-Jan-23,06-Apr-23,45,43,Curriculum and Instruction,ED,A
202301,21140,EDCI,336,A02,TECHNOLOGY INNOVATION: EDUCTN,LEC,"McCue, Rich",1.5,M,MAC,D211,1030,1320,T,09-Jan-23,06-Apr-23,33,32,Curriculum and Instruction,ED,A
202301,21139,EDCI,336,A01,TECHNOLOGY INNOVATION: EDUCTN,LEC,"McCue, Rich",1.5,M,MAC,D211,1000,1250,F,09-Jan-23,06-Apr-23,33,32,Curriculum and Instruction,ED,A
202301,21142,EDCI,337,A01,INTERACTVE+MULTIMEDIA LEARNING,LEC,"Watt, Mary",1.5,ONL,,,,,,09-Jan-23,06-Apr-23,45,40,Curriculum and Instruction,ED,A
202301,21143,EDCI,338,A01,SOCIAL MEDIA+PERSNLZD LEARNING,LEC,"Miller, Jesse",1.5,ONL,,,,,,09-Jan-23,06-Apr-23,45,30,Curriculum and Instruction,ED,A
202301,21144,EDCI,339,A01,DISTRIBUTED AND OPEN LEARNING,LEC,"Hinkel, Thiago",1.5,ONL,,,,,,09-Jan-23,06-Apr-23,45,44,Curriculum and Instruction,ED,A
202301,23873,EDCI,402,A02,READING:PRINCPLE+STRATEGY,LEC,"Kostiuk, Allison",1.5,CRA,,,1230,1520,T,09-Jan-23,06-Apr-23,25,15,Curriculum and Instruction,ED,A
202301,21145,EDCI,402,A01,READING:PRINCPLE+STRATEGY,LEC,"Pantaleo, Sylvia",1.5,M,MAC,D110,1000,1120,TF,09-Jan-23,06-Apr-23,33,33,Curriculum and Instruction,ED,A
202301,23874,EDCI,403,A01,C+I:ELEM / MIDDLE SCHL SCIENCE,LEC,"Poole, Judi",1.5,CRA,,,1600,1850,R,09-Jan-23,26-Apr-23,25,15,Curriculum and Instruction,ED,A
202301,21146,EDCI,404,A01,C+I:ELEM SCHL SOCL STDY,LEC,"Lemon, Meredith",1.5,M,MAC,D287,830,950,MR,09-Jan-23,06-Apr-23,31,34,Curriculum and Instruction,ED,A
202301,21147,EDCI,412,A01,LANG AND LIT PED DIVERSE TEXTS,LEC,"Payne, Wendy",1.5,M,COR,A225,830,950,TF,09-Jan-23,06-Apr-23,33,32,Curriculum and Instruction,ED,A
202301,21148,EDCI,413,A01,PEDAGOGY FOR SCIENCE EDUCATION,LEC,"Germanos, Erika",1.5,M,MAC,D016,1300,1420,MR,09-Jan-23,06-Apr-23,33,32,Curriculum and Instruction,ED,A
202301,21149,EDCI,415,A01,PEDAGOGY MATH ED,LEC,"DeBoice, Jeannie",1.5,M,MAC,D114,830,950,MR,09-Jan-23,06-Apr-23,33,33,Curriculum and Instruction,ED,A
202301,21150,EDCI,432,A01,HISTORCL FOUNDTNS: EDUCTN,LEC,"McDonough, Graham",1.5,M,COR,A121,830,950,TF,09-Jan-23,06-Apr-23,35,28,Curriculum and Instruction,ED,A
202301,21151,EDCI,432,A02,HISTORCL FOUNDTNS: EDUCTN,LEC,"McDonough, Graham",1.5,M,MAC,D114,1000,1120,TF,09-Jan-23,06-Apr-23,33,27,Curriculum and Instruction,ED,A
202301,21154,EDCI,447,A01,TEACH ENGL: LANGUAGE LEARNING,LEC,"Anderson, Tim",1.5,M,MAC,D203,1230,1350,TF,09-Jan-23,06-Apr-23,30,31,Curriculum and Instruction,ED,A
