Term,CRN,Subj,Num,Section,Title,Sched Type,Instructor,Units,Camp,Bldg,Room,Begin,End,Days,Start Date,End Date,Cap,Enrolled,Dept Desc,Faculty,Status
202301,21115,ECON,598,A02,EXTENDED ESSAY,LEC,TBD,3,OFF,,,,,,09-Jan-23,26-Apr-23,100,6,Economics,SS,A
202301,21116,ECON,599,A01,THESIS,LEC,TBD,4.5,M,,,,,,09-Jan-23,26-Apr-23,100,2,Economics,SS,A
202301,21117,ECON,599,A02,THESIS,LEC,TBD,4.5,OFF,,,,,,09-Jan-23,26-Apr-23,100,0,Economics,SS,A
202301,21118,ECON,693,A01,PHD CANDIDACY EXAMINATIONS,LEC,TBD,3,M,,,,,,09-Jan-23,26-Apr-23,100,3,Economics,SS,A
202301,21119,ECON,693,A02,PHD CANDIDACY EXAMINATIONS,LEC,TBD,3,OFF,,,,,,09-Jan-23,26-Apr-23,100,0,Economics,SS,A
202301,21120,ECON,699,A01,DISSERTATION,LEC,TBD,33,M,,,,,,09-Jan-23,26-Apr-23,100,0,Economics,SS,A
202301,21121,ECON,699,A02,DISSERTATION,LEC,TBD,33,OFF,,,,,,09-Jan-23,26-Apr-23,100,1,Economics,SS,A
202301,23379,ECON,801,W01,CO-OP WORK TERM,WRK,TBD,3,OFF,,,,,,09-Jan-23,26-Apr-23,999,3,Economics,SS,A
202301,23380,ECON,802,W01,CO-OP WORK TERM,WRK,TBD,3,OFF,,,,,,09-Jan-23,26-Apr-23,999,2,Economics,SS,A
202301,23381,ECON,803,W01,CO-OP WORK TERM,WRK,TBD,3,OFF,,,,,,09-Jan-23,26-Apr-23,999,1,Economics,SS,A
202301,23382,ECON,804,W01,CO-OP WORK TERM,WRK,TBD,3,OFF,,,,,,09-Jan-23,26-Apr-23,999,0,Economics,SS,A
202301,21180,ED-D,301,A02,LEARNERS+LEARNING ENVIRO,LEC,"Davis, Sarah",1.5,M,MAC,D283,830,950,MR,09-Jan-23,06-Apr-23,33,32,Educ Psychology & Leadership,ED,A
202301,21179,ED-D,301,A01,LEARNERS+LEARNING ENVIRO,LEC,"Harte, Kindra",1.5,M,ELL,60,830,950,TF,09-Jan-23,06-Apr-23,33,33,Educ Psychology & Leadership,ED,A
202301,23876,ED-D,301,A03,LEARNERS+LEARNING ENVIRO,LEC,"Stephenson, Denise",1.5,CRA,,,1600,1850,W,09-Jan-23,06-Apr-23,25,16,Educ Psychology & Leadership,ED,A
202301,21181,ED-D,316,A01,COMMUNCTN INTERP RLTNSHPS,LEC,"Sorsdahl, Michael",1.5,M,CLE,C115,930,1220,W,09-Jan-23,06-Apr-23,30,22,Educ Psychology & Leadership,ED,A
202301,21182,ED-D,406,A01,PSYCHOLOGY OF ADOLESCENCE,LEC,"Brown, Lucinda",1.5,M,MAC,D101,830,950,MR,09-Jan-23,06-Apr-23,35,28,Educ Psychology & Leadership,ED,A
202301,21183,ED-D,406,A02,PSYCHOLOGY OF ADOLESCENCE,LEC,"McDonald, Devon",1.5,M,MAC,D101,1000,1120,MR,09-Jan-23,06-Apr-23,35,29,Educ Psychology & Leadership,ED,A
202301,21188,ED-D,407,A05,EVAL+RPT STUDENT PROGRESS,LEC,"Gruno, Jenn",1.5,M,MCK,81,1130,1220,MF,09-Jan-23,06-Apr-23,33,9,Educ Psychology & Leadership,ED,A
202301,21188,ED-D,407,A05,EVAL+RPT STUDENT PROGRESS,LEC,"Gruno, Jenn",1.5,M,MCK,80,1130,1220,T,09-Jan-23,06-Apr-23,33,9,Educ Psychology & Leadership,ED,A
202301,21188,ED-D,407,A05,EVAL+RPT STUDENT PROGRESS,LEC,"Gruno, Jenn",1.5,M,MCK,92,1130,1220,MTF,09-Jan-23,06-Apr-23,33,9,Educ Psychology & Leadership,ED,A
