Course,TF_IDF,Term,Term Yr,Class Yr,Dept Desc,Cap,Enrolled
ECE 255,1.953287291755551,Fall,2022,2,Electrical & Computer Engg,145.0,127.0
ECE 260,1.973912383230037,Fall,2022,2,Electrical & Computer Engg,148.0,117.0
ECE 260,1.973912383230037,Summer,2022,2,Electrical & Computer Engg,115.0,68.0
ECE 310,1.7202956500262858,Summer,2022,3,Electrical & Computer Engg,80.0,26.0
ECE 355,1.684129061737789,Fall,2022,3,Electrical & Computer Engg,180.0,145.0
ECE 360,1.6484827291912527,Fall,2022,3,Electrical & Computer Engg,140.0,78.0
SENG 265,1.7233466556873767,Fall,2022,2,Engineering & Computer Science,215.0,198.0
SENG 265,1.7233466556873767,Summer,2022,2,Engineering & Computer Science,82.0,67.0
SENG 275,1.3992783650726581,Summer,2022,2,Engineering & Computer Science,55.0,35.0
SENG 310,1.7027181534986917,Fall,2022,3,Engineering & Computer Science,78.0,76.0
SENG 310,1.7027181534986917,Summer,2022,3,Engineering & Computer Science,125.0,121.0
SENG 321,1.4129177893117206,Fall,2022,3,Engineering & Computer Science,72.0,67.0
SENG 350,1.7121467058489324,Fall,2022,3,Engineering & Computer Science,85.0,71.0
SENG 360,1.4040643604689231,Fall,2022,3,Engineering & Computer Science,100.0,81.0
SENG 426,1.7081168336372414,Summer,2022,4,Engineering & Computer Science,91.0,81.0
SENG 440,1.3000192196968265,Summer,2022,4,Engineering & Computer Science,110.0,94.0
SENG 499,1.7240071830572798,Summer,2022,4,Engineering & Computer Science,84.0,77.0
CSC 111,1.999486447111325,Spring,2023,1,Computer Science,138.0,134.0
CSC 115,1.71403712091437,Spring,2023,1,Computer Science,364.0,355.0
CSC 225,1.7275489619388926,Spring,2023,2,Computer Science,160.0,147.0
CSC 226,1.964219322042673,Spring,2023,2,Computer Science,180.0,166.0
CSC 230,1.3998962509915867,Spring,2023,2,Computer Science,145.0,133.0
CSC 320,1.7214958597388421,Spring,2023,3,Computer Science,210.0,187.0
CSC 360,1.3776586902754577,Spring,2023,3,Computer Science,150.0,95.0
CSC 361,1.6979191379867875,Spring,2023,3,Computer Science,150.0,52.0
CSC 370,1.3816453986983719,Spring,2023,3,Computer Science,150.0,116.0
ECE 310,1.7202956500262858,Spring,2023,3,Electrical & Computer Engg,180.0,138.0
ECE 360,1.6484827291912527,Spring,2023,3,Electrical & Computer Engg,80.0,65.0
ECE 455,2.2214568185871673,Spring,2023,4,Electrical & Computer Engg,96.0,95.0
ECE 458,1.414213562373095,Spring,2023,4,Electrical & Computer Engg,115.0,105.0
SENG 265,1.7233466556873767,Spring,2023,2,Engineering & Computer Science,185.0,162.0
SENG 275,1.3992783650726581,Spring,2023,2,Engineering & Computer Science,70.0,63.0
SENG 310,1.7027181534986917,Spring,2023,3,Engineering & Computer Science,105.0,92.0
SENG 321,1.4129177893117206,Spring,2023,3,Engineering & Computer Science,60.0,58.0
SENG 371,1.3878916502803957,Spring,2023,3,Engineering & Computer Science,82.0,81.0
