Course,TF_IDF,Term,Term Yr,Class Yr,Dept Desc,Cap,Enrolled
CSC 226,1.9747131799874857,Summer,2022,2,Computer Science,100.0,74.0
CSC 230,1.400876228262797,Fall,2022,2,Computer Science,160.0,128.0
CSC 230,1.400876228262797,Summer,2022,2,Computer Science,65.0,46.0
CSC 320,1.7187474212287954,Fall,2022,3,Computer Science,95.0,47.0
CSC 320,1.7187474212287954,Summer,2022,3,Computer Science,141.0,120.0
CSC 355,1.724179092485383,Fall,2022,3,Computer Science,137.0,110.0
CSC 360,1.355242231542043,Fall,2022,3,Computer Science,175.0,144.0
CSC 360,1.355242231542043,Summer,2022,3,Computer Science,95.0,69.0
CSC 361,1.693752765370109,Fall,2022,3,Computer Science,120.0,71.0
CSC 370,1.3828976669405364,Fall,2022,3,Computer Science,180.0,157.0
CSC 370,1.3828976669405364,Summer,2022,3,Computer Science,113.0,85.0
ECE 255,1.9641011650882512,Fall,2022,2,Electrical & Computer Engg,145.0,127.0
ECE 260,1.967554939949224,Fall,2022,2,Electrical & Computer Engg,148.0,117.0
ECE 260,1.967554939949224,Summer,2022,2,Electrical & Computer Engg,115.0,68.0
ECE 310,1.728477399264385,Summer,2022,3,Electrical & Computer Engg,80.0,26.0
ECE 355,1.6645778862035372,Fall,2022,3,Electrical & Computer Engg,180.0,145.0
ECE 360,1.669614809618496,Fall,2022,3,Electrical & Computer Engg,140.0,78.0
SENG 265,1.7233466556873767,Fall,2022,2,Computer Science,215.0,198.0
SENG 265,1.7233466556873767,Summer,2022,2,Computer Science,82.0,67.0
SENG 275,1.3992783650726581,Summer,2022,2,Computer Science,55.0,35.0
SENG 310,1.7029249907021853,Fall,2022,3,Computer Science,78.0,76.0
SENG 310,1.7029249907021853,Summer,2022,3,Computer Science,125.0,121.0
SENG 321,1.4130046597711452,Fall,2022,3,Computer Science,72.0,67.0
SENG 350,1.7129806781493302,Fall,2022,3,Computer Science,85.0,71.0
SENG 360,1.3949407536923166,Fall,2022,3,Computer Science,100.0,81.0
SENG 426,1.710418369678091,Summer,2022,4,Electrical & Computer Engg,91.0,81.0
SENG 440,1.3633345328455118,Summer,2022,4,Electrical & Computer Engg,110.0,94.0
SENG 499,1.7269660727128908,Summer,2022,4,Electrical & Computer Engg,84.0,77.0
CSC 111,1.999041613169572,Spring,2023,1,Computer Science,138.0,134.0
CSC 115,1.6979580477746974,Spring,2023,1,Computer Science,364.0,355.0
CSC 225,1.7275489619388926,Spring,2023,2,Computer Science,160.0,147.0
CSC 226,1.9747131799874857,Spring,2023,2,Computer Science,180.0,166.0
CSC 230,1.400876228262797,Spring,2023,2,Computer Science,145.0,133.0
CSC 320,1.7187474212287954,Spring,2023,3,Computer Science,210.0,187.0
CSC 360,1.355242231542043,Spring,2023,3,Computer Science,150.0,95.0
CSC 361,1.693752765370109,Spring,2023,3,Computer Science,150.0,52.0
CSC 370,1.3828976669405364,Spring,2023,3,Computer Science,150.0,116.0
ECE 310,1.728477399264385,Spring,2023,3,Electrical & Computer Engg,180.0,138.0
ECE 360,1.669614809618496,Spring,2023,3,Electrical & Computer Engg,80.0,65.0
ECE 455,2.219696869738884,Spring,2023,4,Electrical & Computer Engg,96.0,95.0
ECE 458,1.414213562373095,Spring,2023,4,Electrical & Computer Engg,115.0,105.0
SENG 265,1.7233466556873767,Spring,2023,2,Computer Science,185.0,162.0
SENG 275,1.3992783650726581,Spring,2023,2,Computer Science,70.0,63.0
SENG 310,1.7029249907021853,Spring,2023,3,Computer Science,105.0,92.0
SENG 321,1.4130046597711452,Spring,2023,3,Computer Science,60.0,58.0
SENG 371,1.3878916502803957,Spring,2023,3,Computer Science,82.0,81.0
SENG 401,1.7320508075688772,Spring,2023,4,Computer Science,63.0,62.0
SENG 310,2.219696869738884,Fall,2019,3,Computer Science,124.0,110.0
CSC 111,1.7269660727128908,Fall,2020,1,Computer Science,175.0,139.0
CSC 115,1.986661070563871,Fall,2020,1,Computer Science,173.0,138.0
CSC 225,1.3828976669405364,Fall,2020,2,Computer Science,167.0,132.0
CSC 226,1.7269660727128908,Fall,2020,2,Computer Science,165.0,131.0
CSC 230,1.986661070563871,Fall,2020,2,Computer Science,163.0,130.0
CSC 320,1.3828976669405364,Fall,2020,3,Computer Science,156.0,123.0
CSC 355,1.7269660727128908,Fall,2020,3,Computer Science,154.0,123.0
CSC 360,1.986661070563871,Fall,2020,3,Computer Science,152.0,122.0
CSC 361,1.986661070563871,Fall,2020,3,Computer Science,150.0,121.0
CSC 370,1.724179092485383,Fall,2020,3,Computer Science,148.0,120.0
ECE 255,1.3633345328455118,Fall,2020,2,Electrical & Computer Engg,145.0,120.0
ECE 260,1.7187474212287954,Fall,2020,2,Electrical & Computer Engg,143.0,119.0
ECE 355,1.3633345328455118,Fall,2020,3,Electrical & Computer Engg,134.0,111.0
ECE 360,1.7187474212287954,Fall,2020,3,Electrical & Computer Engg,132.0,111.0
SENG 265,1.4130046597711452,Fall,2020,2,Computer Science,132.0,117.0
SENG 275,1.4130046597711452,Fall,2020,2,Computer Science,130.0,116.0
SENG 310,2.219696869738884,Fall,2020,3,Computer Science,124.0,110.0
SENG 321,1.4130046597711452,Fall,2020,3,Computer Science,121.0,109.0
SENG 350,1.4130046597711452,Fall,2020,3,Computer Science,119.0,108.0
SENG 360,1.3949407536923166,Fall,2020,3,Computer Science,117.0,107.0
SENG 275,1.3949407536923166,Fall,2022,2,Computer Science,130.0,115.0
CSC 111,1.7269660727128908,Fall,2023,1,Computer Science,175.0,138.0
CSC 115,1.986661070563871,Fall,2023,1,Computer Science,173.0,137.0
CSC 225,1.3828976669405364,Fall,2023,2,Computer Science,166.0,131.0
CSC 226,1.7269660727128908,Fall,2023,2,Computer Science,164.0,130.0
CSC 230,1.986661070563871,Fall,2023,2,Computer Science,162.0,129.0
CSC 320,1.3828976669405364,Fall,2023,3,Computer Science,156.0,123.0
CSC 355,1.7269660727128908,Fall,2023,3,Computer Science,153.0,122.0
CSC 360,1.986661070563871,Fall,2023,3,Computer Science,151.0,121.0
CSC 361,1.724179092485383,Fall,2023,3,Computer Science,149.0,120.0
CSC 370,1.728477399264385,Fall,2023,3,Computer Science,147.0,119.0
ECE 255,1.3633345328455118,Fall,2023,2,Electrical & Computer Engg,144.0,119.0
ECE 260,1.7187474212287954,Fall,2023,2,Electrical & Computer Engg,142.0,118.0
ECE 355,1.3633345328455118,Fall,2023,3,Electrical & Computer Engg,134.0,111.0
ECE 360,1.7187474212287954,Fall,2023,3,Electrical & Computer Engg,132.0,110.0
SENG 265,1.4130046597711452,Fall,2023,2,Computer Science,132.0,116.0
SENG 275,1.3949407536923166,Fall,2023,2,Computer Science,129.0,115.0
SENG 310,2.219696869738884,Fall,2023,3,Computer Science,123.0,109.0
SENG 321,1.4130046597711452,Fall,2023,3,Computer Science,121.0,108.0
SENG 350,1.3949407536923166,Fall,2023,3,Computer Science,119.0,107.0
SENG 360,1.7320508075688772,Fall,2023,3,Computer Science,117.0,106.0
CSC 360,1.7269660727128908,Summer,2019,3,Computer Science,149.0,119.0
CSC 115,1.7269660727128908,Summer,2020,1,Computer Science,170.0,134.0
CSC 225,1.669614809618496,Summer,2020,2,Computer Science,164.0,128.0
